Year,Month,Backup Price ($/kWh),Backup Energy (kWh),DR Months (y/n),DR Capacity (kW),DR Capacity Price ($/kW),DR Energy Price ($/kWh),RA Capacity Price ($/kW)
2028,1,0,0,0,0,0,0,0
2028,2,0,0,0,0,0,0,0
2028,3,0,0,0,0,0,0,0
2028,4,0,0,0,0,0,0,0
2028,5,0,0,0,0,0,0,0
2028,6,0,0,0,0,0,0,0
2028,7,0,0,0,0,0,0,0
2028,8,0,0,0,0,0,0,0
2028,9,0,0,0,0,0,0,0
2028,10,0,0,0,0,0,0,0
2028,11,0,0,0,0,0,0,0
2028,12,0,0,0,0,0,0,0
2029,1,0,0,0,0,0,0,0
2029,2,0,0,0,0,0,0,0
2029,3,0,0,0,0,0,0,0
2029,4,0,0,0,0,0,0,0
2029,5,0,0,0,0,0,0,0
2029,6,0,0,0,0,0,0,0
2029,7,0,0,0,0,0,0,0
2029,8,0,0,0,0,0,0,0
2029,9,0,0,0,0,0,0,0
2029,10,0,0,0,0,0,0,0
2029,11,0,0,0,0,0,0,0
2029,12,0,0,0,0,0,0,0
2030,1,0,0,0,0,0,0,0
2030,2,0,0,0,0,0,0,0
2030,3,0,0,0,0,0,0,0
2030,4,0,0,0,0,0,0,0
2030,5,0,0,0,0,0,0,0
2030,6,0,0,0,0,0,0,0
2030,7,0,0,0,0,0,0,0
2030,8,0,0,0,0,0,0,0
2030,9,0,0,0,0,0,0,0
2030,10,0,0,0,0,0,0,0
2030,11,0,0,0,0,0,0,0
2030,12,0,0,0,0,0,0,0
2031,1,0,0,0,0,0,0,0
2031,2,0,0,0,0,0,0,0
2031,3,0,0,0,0,0,0,0
2031,4,0,0,0,0,0,0,0
2031,5,0,0,0,0,0,0,0
2031,6,0,0,0,0,0,0,0
2031,7,0,0,0,0,0,0,0
2031,8,0,0,0,0,0,0,0
2031,9,0,0,0,0,0,0,0
2031,10,0,0,0,0,0,0,0
2031,11,0,0,0,0,0,0,0
2031,12,0,0,0,0,0,0,0
2032,1,0,0,0,0,0,0,0
2032,2,0,0,0,0,0,0,0
2032,3,0,0,0,0,0,0,0
2032,4,0,0,0,0,0,0,0
2032,5,0,0,0,0,0,0,0
2032,6,0,0,0,0,0,0,0
2032,7,0,0,0,0,0,0,0
2032,8,0,0,0,0,0,0,0
2032,9,0,0,0,0,0,0,0
2032,10,0,0,0,0,0,0,0
2032,11,0,0,0,0,0,0,0
2032,12,0,0,0,0,0,0,0
2033,1,0,0,0,0,0,0,0
2033,2,0,0,0,0,0,0,0
2033,3,0,0,0,0,0,0,0
2033,4,0,0,0,0,0,0,0
2033,5,0,0,0,0,0,0,0
2033,6,0,0,0,0,0,0,0
2033,7,0,0,0,0,0,0,0
2033,8,0,0,0,0,0,0,0
2033,9,0,0,0,0,0,0,0
2033,10,0,0,0,0,0,0,0
2033,11,0,0,0,0,0,0,0
2033,12,0,0,0,0,0,0,0
2034,1,0,0,0,0,0,0,0
2034,2,0,0,0,0,0,0,0
2034,3,0,0,0,0,0,0,0
2034,4,0,0,0,0,0,0,0
2034,5,0,0,0,0,0,0,0
2034,6,0,0,0,0,0,0,0
2034,7,0,0,0,0,0,0,0
2034,8,0,0,0,0,0,0,0
2034,9,0,0,0,0,0,0,0
2034,10,0,0,0,0,0,0,0
2034,11,0,0,0,0,0,0,0
2034,12,0,0,0,0,0,0,0
2035,1,0,0,0,0,0,0,0
2035,2,0,0,0,0,0,0,0
2035,3,0,0,0,0,0,0,0
2035,4,0,0,0,0,0,0,0
2035,5,0,0,0,0,0,0,0
2035,6,0,0,0,0,0,0,0
2035,7,0,0,0,0,0,0,0
2035,8,0,0,0,0,0,0,0
2035,9,0,0,0,0,0,0,0
2035,10,0,0,0,0,0,0,0
2035,11,0,0,0,0,0,0,0
2035,12,0,0,0,0,0,0,0
2036,1,0,0,0,0,0,0,0
2036,2,0,0,0,0,0,0,0
2036,3,0,0,0,0,0,0,0
2036,4,0,0,0,0,0,0,0
2036,5,0,0,0,0,0,0,0
2036,6,0,0,0,0,0,0,0
2036,7,0,0,0,0,0,0,0
2036,8,0,0,0,0,0,0,0
2036,9,0,0,0,0,0,0,0
2036,10,0,0,0,0,0,0,0
2036,11,0,0,0,0,0,0,0
2036,12,0,0,0,0,0,0,0
2037,1,0,0,0,0,0,0,0
2037,2,0,0,0,0,0,0,0
2037,3,0,0,0,0,0,0,0
2037,4,0,0,0,0,0,0,0
2037,5,0,0,0,0,0,0,0
2037,6,0,0,0,0,0,0,0
2037,7,0,0,0,0,0,0,0
2037,8,0,0,0,0,0,0,0
2037,9,0,0,0,0,0,0,0
2037,10,0,0,0,0,0,0,0
2037,11,0,0,0,0,0,0,0
2037,12,0,0,0,0,0,0,0
2038,1,0,0,0,0,0,0,0
2038,2,0,0,0,0,0,0,0
2038,3,0,0,0,0,0,0,0
2038,4,0,0,0,0,0,0,0
2038,5,0,0,0,0,0,0,0
2038,6,0,0,0,0,0,0,0
2038,7,0,0,0,0,0,0,0
2038,8,0,0,0,0,0,0,0
2038,9,0,0,0,0,0,0,0
2038,10,0,0,0,0,0,0,0
2038,11,0,0,0,0,0,0,0
2038,12,0,0,0,0,0,0,0
2039,1,0,0,0,0,0,0,0
2039,2,0,0,0,0,0,0,0
2039,3,0,0,0,0,0,0,0
2039,4,0,0,0,0,0,0,0
2039,5,0,0,0,0,0,0,0
2039,6,0,0,0,0,0,0,0
2039,7,0,0,0,0,0,0,0
2039,8,0,0,0,0,0,0,0
2039,9,0,0,0,0,0,0,0
2039,10,0,0,0,0,0,0,0
2039,11,0,0,0,0,0,0,0
2039,12,0,0,0,0,0,0,0
2040,1,0,0,0,0,0,0,0
2040,2,0,0,0,0,0,0,0
2040,3,0,0,0,0,0,0,0
2040,4,0,0,0,0,0,0,0
2040,5,0,0,0,0,0,0,0
2040,6,0,0,0,0,0,0,0
2040,7,0,0,0,0,0,0,0
2040,8,0,0,0,0,0,0,0
2040,9,0,0,0,0,0,0,0
2040,10,0,0,0,0,0,0,0
2040,11,0,0,0,0,0,0,0
2040,12,0,0,0,0,0,0,0
2041,1,0,0,0,0,0,0,0
2041,2,0,0,0,0,0,0,0
2041,3,0,0,0,0,0,0,0
2041,4,0,0,0,0,0,0,0
2041,5,0,0,0,0,0,0,0
2041,6,0,0,0,0,0,0,0
2041,7,0,0,0,0,0,0,0
2041,8,0,0,0,0,0,0,0
2041,9,0,0,0,0,0,0,0
2041,10,0,0,0,0,0,0,0
2041,11,0,0,0,0,0,0,0
2041,12,0,0,0,0,0,0,0
2042,1,0,0,0,0,0,0,0
2042,2,0,0,0,0,0,0,0
2042,3,0,0,0,0,0,0,0
2042,4,0,0,0,0,0,0,0
2042,5,0,0,0,0,0,0,0
2042,6,0,0,0,0,0,0,0
2042,7,0,0,0,0,0,0,0
2042,8,0,0,0,0,0,0,0
2042,9,0,0,0,0,0,0,0
2042,10,0,0,0,0,0,0,0
2042,11,0,0,0,0,0,0,0
2042,12,0,0,0,0,0,0,0
2043,1,0,0,0,0,0,0,0
2043,2,0,0,0,0,0,0,0
2043,3,0,0,0,0,0,0,0
2043,4,0,0,0,0,0,0,0
2043,5,0,0,0,0,0,0,0
2043,6,0,0,0,0,0,0,0
2043,7,0,0,0,0,0,0,0
2043,8,0,0,0,0,0,0,0
2043,9,0,0,0,0,0,0,0
2043,10,0,0,0,0,0,0,0
2043,11,0,0,0,0,0,0,0
2043,12,0,0,0,0,0,0,0
2044,1,0,0,0,0,0,0,0
2044,2,0,0,0,0,0,0,0
2044,3,0,0,0,0,0,0,0
2044,4,0,0,0,0,0,0,0
2044,5,0,0,0,0,0,0,0
2044,6,0,0,0,0,0,0,0
2044,7,0,0,0,0,0,0,0
2044,8,0,0,0,0,0,0,0
2044,9,0,0,0,0,0,0,0
2044,10,0,0,0,0,0,0,0
2044,11,0,0,0,0,0,0,0
2044,12,0,0,0,0,0,0,0
2045,1,0,0,0,0,0,0,0
2045,2,0,0,0,0,0,0,0
2045,3,0,0,0,0,0,0,0
2045,4,0,0,0,0,0,0,0
2045,5,0,0,0,0,0,0,0
2045,6,0,0,0,0,0,0,0
2045,7,0,0,0,0,0,0,0
2045,8,0,0,0,0,0,0,0
2045,9,0,0,0,0,0,0,0
2045,10,0,0,0,0,0,0,0
2045,11,0,0,0,0,0,0,0
2045,12,0,0,0,0,0,0,0
2046,1,0,0,0,0,0,0,0
2046,2,0,0,0,0,0,0,0
2046,3,0,0,0,0,0,0,0
2046,4,0,0,0,0,0,0,0
2046,5,0,0,0,0,0,0,0
2046,6,0,0,0,0,0,0,0
2046,7,0,0,0,0,0,0,0
2046,8,0,0,0,0,0,0,0
2046,9,0,0,0,0,0,0,0
2046,10,0,0,0,0,0,0,0
2046,11,0,0,0,0,0,0,0
2046,12,0,0,0,0,0,0,0
2047,1,0,0,0,0,0,0,0
2047,2,0,0,0,0,0,0,0
2047,3,0,0,0,0,0,0,0
2047,4,0,0,0,0,0,0,0
2047,5,0,0,0,0,0,0,0
2047,6,0,0,0,0,0,0,0
2047,7,0,0,0,0,0,0,0
2047,8,0,0,0,0,0,0,0
2047,9,0,0,0,0,0,0,0
2047,10,0,0,0,0,0,0,0
2047,11,0,0,0,0,0,0,0
2047,12,0,0,0,0,0,0,0
2048,1,0,0,0,0,0,0,0
2048,2,0,0,0,0,0,0,0
2048,3,0,0,0,0,0,0,0
2048,4,0,0,0,0,0,0,0
2048,5,0,0,0,0,0,0,0
2048,6,0,0,0,0,0,0,0
2048,7,0,0,0,0,0,0,0
2048,8,0,0,0,0,0,0,0
2048,9,0,0,0,0,0,0,0
2048,10,0,0,0,0,0,0,0
2048,11,0,0,0,0,0,0,0
2048,12,0,0,0,0,0,0,0
2049,1,0,0,0,0,0,0,0
2049,2,0,0,0,0,0,0,0
2049,3,0,0,0,0,0,0,0
2049,4,0,0,0,0,0,0,0
2049,5,0,0,0,0,0,0,0
2049,6,0,0,0,0,0,0,0
2049,7,0,0,0,0,0,0,0
2049,8,0,0,0,0,0,0,0
2049,9,0,0,0,0,0,0,0
2049,10,0,0,0,0,0,0,0
2049,11,0,0,0,0,0,0,0
2049,12,0,0,0,0,0,0,0
2050,1,0,0,0,0,0,0,0
2050,2,0,0,0,0,0,0,0
2050,3,0,0,0,0,0,0,0
2050,4,0,0,0,0,0,0,0
2050,5,0,0,0,0,0,0,0
2050,6,0,0,0,0,0,0,0
2050,7,0,0,0,0,0,0,0
2050,8,0,0,0,0,0,0,0
2050,9,0,0,0,0,0,0,0
2050,10,0,0,0,0,0,0,0
2050,11,0,0,0,0,0,0,0
2050,12,0,0,0,0,0,0,0
